"","FECHA_DEF","acumulados","tipo"
"1","2020-04-12",629,"Estimados"
"2","2020-04-13",707,"Estimados"
"3","2020-04-14",789,"Estimados"
"4","2020-04-15",878,"Estimados"
"5","2020-04-16",953,"Estimados"
"6","2020-04-17",1056,"Estimados"
"7","2020-04-18",1156,"Estimados"
"8","2020-04-19",1283,"Estimados"
"9","2020-04-20",1429,"Estimados"
"10","2020-04-21",1574,"Estimados"
"11","2020-04-22",1730,"Estimados"
"12","2020-04-23",1880,"Estimados"
"13","2020-04-24",2069,"Estimados"
"14","2020-04-25",2276,"Estimados"
"15","2020-04-26",2498,"Estimados"
"16","2020-04-27",2707,"Estimados"
"17","2020-04-28",2904,"Estimados"
"18","2020-04-29",3162,"Estimados"
"19","2020-04-30",3410,"Estimados"
"20","2020-05-01",3691,"Estimados"
"21","2020-05-02",3947,"Estimados"
"22","2020-05-03",4199,"Estimados"
"23","2020-05-04",4526,"Estimados"
"24","2020-05-05",4827,"Estimados"
"25","2020-05-06",5118,"Estimados"
"26","2020-05-07",5408,"Estimados"
"27","2020-05-08",5721,"Estimados"
"28","2020-05-09",6021,"Estimados"
"29","2020-05-10",6334,"Estimados"
"30","2020-05-11",6670,"Estimados"
"31","2020-05-12",7003,"Estimados"
"32","2020-05-13",7374,"Estimados"
"33","2020-05-14",7780,"Estimados"
"34","2020-05-15",8195,"Estimados"
"35","2020-05-16",8580.0904258178,"Estimados"
"36","2020-05-17",9017.10173327006,"Estimados"
"37","2020-05-18",9458.10173327006,"Estimados"
"38","2020-05-19",9903.23974464892,"Estimados"
"39","2020-05-20",10354.8613810772,"Estimados"
"40","2020-05-21",10793.9622268233,"Estimados"
"41","2020-05-22",11226.6746886674,"Estimados"
"42","2020-05-23",11652.5619987541,"Estimados"
"43","2020-05-24",12108.6733879649,"Estimados"
"44","2020-05-25",12580.4792876841,"Estimados"
"45","2020-05-26",13050.1923857126,"Estimados"
"46","2020-05-27",13495.7476215593,"Estimados"
"47","2020-05-28",13961.213125256,"Estimados"
"48","2020-05-29",14393.4111049512,"Estimados"
"49","2020-05-30",14862.295515098,"Estimados"
"50","2020-05-31",15374.9626394009,"Estimados"
"51","2020-06-01",15929.5092248513,"Estimados"
"52","2020-06-02",16423.2484865277,"Estimados"
"53","2020-06-03",16954.9225703368,"Estimados"
"54","2020-06-04",17479.0250322906,"Estimados"
"55","2020-06-05",17992.104092213,"Estimados"
"56","2020-06-06",18534.5200783947,"Estimados"
"57","2020-06-07",19099.1483304458,"Estimados"
"58","2020-06-08",19704.2467621665,"Estimados"
"59","2020-06-09",20266.8889951427,"Estimados"
