"","FECHA_DEF","acumulados","tipo"
"1","2020-04-12",630,"Estimados"
"2","2020-04-13",708,"Estimados"
"3","2020-04-14",790,"Estimados"
"4","2020-04-15",879,"Estimados"
"5","2020-04-16",954,"Estimados"
"6","2020-04-17",1057,"Estimados"
"7","2020-04-18",1157,"Estimados"
"8","2020-04-19",1284,"Estimados"
"9","2020-04-20",1430,"Estimados"
"10","2020-04-21",1575,"Estimados"
"11","2020-04-22",1731,"Estimados"
"12","2020-04-23",1881,"Estimados"
"13","2020-04-24",2070,"Estimados"
"14","2020-04-25",2277,"Estimados"
"15","2020-04-26",2499,"Estimados"
"16","2020-04-27",2708,"Estimados"
"17","2020-04-28",2905,"Estimados"
"18","2020-04-29",3163,"Estimados"
"19","2020-04-30",3411,"Estimados"
"20","2020-05-01",3692,"Estimados"
"21","2020-05-02",3948,"Estimados"
"22","2020-05-03",4200,"Estimados"
"23","2020-05-04",4527,"Estimados"
"24","2020-05-05",4828,"Estimados"
"25","2020-05-06",5119,"Estimados"
"26","2020-05-07",5409,"Estimados"
"27","2020-05-08",5722,"Estimados"
"28","2020-05-09",6022,"Estimados"
"29","2020-05-10",6335,"Estimados"
"30","2020-05-11",6671,"Estimados"
"31","2020-05-12",7004,"Estimados"
"32","2020-05-13",7375,"Estimados"
"33","2020-05-14",7781,"Estimados"
"34","2020-05-15",8196,"Estimados"
"35","2020-05-16",8582,"Estimados"
"36","2020-05-17",9020,"Estimados"
"37","2020-05-18",9462,"Estimados"
"38","2020-05-19",9909,"Estimados"
"39","2020-05-20",10364,"Estimados"
"40","2020-05-21",10805,"Estimados"
"41","2020-05-22",11236,"Estimados"
"42","2020-05-23",11667,"Estimados"
"43","2020-05-24",12128,"Estimados"
"44","2020-05-25",12604,"Estimados"
"45","2020-05-26",13079,"Estimados"
"46","2020-05-27",13522,"Estimados"
"47","2020-05-28",13995,"Estimados"
"48","2020-05-29",14427,"Estimados"
"49","2020-05-30",14898,"Estimados"
"50","2020-05-31",15401,"Estimados"
"51","2020-06-01",15943,"Estimados"
"52","2020-06-02",16441,"Estimados"
"53","2020-06-03",16968,"Estimados"
"54","2020-06-04",17494,"Estimados"
"55","2020-06-05",17998,"Estimados"
"56","2020-06-06",18534,"Estimados"
"57","2020-06-07",19091,"Estimados"
"58","2020-06-08",19682,"Estimados"
"59","2020-06-09",20242,"Estimados"
"60","2020-06-10",20826,"Estimados"
"61","2020-06-11",21367,"Estimados"
"62","2020-06-12",21972,"Estimados"
"63","2020-06-13",22533,"Estimados"
"64","2020-06-14",23122,"Estimados"
