"","Nombre_Estado","UCI","cuantos"
"1","CDMX",1,3
"2","CDMX",2,5
"3","CDMX",97,5
"4","CHIHUAHUA",1,9
"5","CHIHUAHUA",2,1
"6","CHIHUAHUA",97,1
"7","DURANGO",2,1
"8","GUERRERO",1,1
"9","GUERRERO",2,3
"10","HIDALGO",2,1
"11","JALISCO",1,1
"12","JALISCO",97,5
"13","MÉXICO",1,2
"14","MÉXICO",2,14
"15","MÉXICO",97,4
"16","MORELOS",2,1
"17","NUEVO LEÓN",2,1
"18","OAXACA",2,1
"19","PUEBLA",2,1
"20","SINALOA",2,3
"21","SONORA",2,2
"22","SONORA",97,2
"23","TLAXCALA",1,1
"24","TLAXCALA",97,1
"25","TLAXCALA",99,1
"26","VERACRUZ",2,2
"27","VERACRUZ",97,1
"28","VERACRUZ",99,1
