"","FECHA_DEF","registros_dia_3","registros_dia_4","registros_dia_5","registros_dia_6","registros_dia_7","registros_dia_8","registros_dia_9","registros_dia_10","registros_dia_11","registros_dia_12","registros_dia_13","registros_dia_14","registros_dia_15","registros_dia_16","registros_dia_17","registros_dia_18","registros_dia_19","registros_dia_20","registros_dia_21","registros_dia_22","registros_dia_23","registros_dia_24","registros_dia_25","registros_dia_26","registros_dia_27","registros_dia_28","registros_dia_29","registros_dia_30","registros_dia_31","registros_dia_32","registros_dia_33","registros_dia_34","registros_dia_35","registros_dia_36","registros_dia_37","registros_dia_38","registros_dia_39","registros_dia_40","registros_dia_41","registros_dia_42","registros_dia_43","registros_dia_44","registros_dia_45","registros_dia_46","registros_dia_47","registros_dia_48","registros_dia_49","registros_dia_50","registros_dia_51","registros_dia_52","registros_dia_53","registros_dia_54","registros_dia_55","registros_dia_56","registros_dia_57","registros_dia_58","registros_dia_59","registros_dia_60","registros_dia_61","registros_dia_62","registros_dia_63","registros_dia_64","registros_dia_65","registros_dia_66","registros_dia_67","registros_dia_68","registros_dia_69","registros_dia_70","registros_dia_71","registros_dia_72","registros_dia_73","registros_dia_74","registros_dia_75","registros_dia_76","registros_dia_77","registros_dia_78","registros_dia_79","registros_dia_80","registros_dia_81","registros_dia_82","registros_dia_83","registros_dia_84","registros_dia_85","registros_dia_86","registros_dia_87","registros_dia_88","registros_dia_89","registros_dia_90","registros_dia_91","registros_dia_92","registros_dia_93","registros_dia_94","registros_dia_95","registros_dia_96","registros_dia_97","registros_dia_98","registros_dia_99","registros_dia_100","registros_dia_101","registros_dia_102","acumulados_estimados","acumulados_contados","tasa_semanal","tasa_4dias","tasa_suave","suave_duplex","por_dia_suave"
"1","2020-04-12",26,30,36,43,44,44,48,50,52,55,55,55,56,56,57,57,59,59,59,59,59,59,59,59,61,61,61,62,62,62,62,62,63,63,64,64,64,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,68,68,68,68,68,68,68,68,68,68,68,68,69,69,69,69,69,70,70,70,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,630,630,NA,NA,NA,NA,68
"2","2020-04-13",31,38,42,44,44,48,51,55,56,57,57,57,57,60,61,63,63,63,64,65,65,65,65,66,66,66,66,66,68,68,69,70,70,70,72,73,75,75,75,75,75,75,77,77,77,77,77,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,79,79,79,79,79,79,79,79,79,79,79,79,79,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,710,710,NA,NA,NA,NA,78
"3","2020-04-14",33,43,44,46,54,61,64,66,68,68,68,69,72,73,74,73,73,74,74,74,75,75,75,76,76,76,77,77,78,77,77,77,77,79,83,83,83,83,83,83,83,83,83,83,83,83,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,83,84,84,84,84,84,85,86,86,86,86,86,87,87,87,87,87,87,87,88,88,88,89,89,89,91,91,91,92,92,92,92,92,92,92,92,92,92,802,802,NA,NA,NA,NA,82
"4","2020-04-15",41,43,43,56,61,65,70,69,69,70,72,73,74,75,75,78,79,78,80,80,80,81,81,81,83,83,83,83,83,83,84,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,88,88,88,89,89,89,88,88,88,88,88,88,89,89,89,89,89,89,89,89,89,89,91,91,91,91,91,91,92,93,93,93,93,93,92,93,93,93,93,93,93,93,94,94,94,94,94,897,897,NA,NA,NA,NA,89
"5","2020-04-16",26,28,39,44,49,54,56,56,56,59,61,62,62,62,62,62,62,63,63,63,63,63,63,67,69,69,69,69,71,71,71,71,73,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,76,76,76,77,77,77,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,979,979,NA,1.55396825396825,NA,NA,75
"6","2020-04-17",25,42,51,56,63,66,66,66,67,69,72,72,72,72,72,72,77,80,80,83,83,85,87,89,89,89,91,91,91,91,94,97,100,100,101,101,101,101,101,101,101,101,101,101,102,102,102,102,102,102,102,102,102,102,102,102,103,103,104,104,104,104,104,104,105,105,105,106,106,106,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,108,108,108,108,108,108,108,108,108,109,109,1090,1090,NA,1.53521126760563,1.53047425589837,6.51488316302931,103
"7","2020-04-18",37,46,52,62,67,68,70,71,75,75,76,76,76,77,78,82,84,85,86,86,86,90,92,92,94,95,95,95,97,97,97,98,98,98,98,98,100,100,100,100,100,100,100,100,101,101,101,101,101,100,101,101,101,101,101,101,100,100,101,101,101,104,105,105,107,107,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,109,109,109,109,109,109,109,109,109,110,110,110,110,110,110,110,110,1201,1201,NA,1.49750623441397,1.5051869263046,6.78031992996729,100
"8","2020-04-19",56,66,73,80,81,81,85,87,89,91,91,92,92,92,96,102,103,103,104,105,106,109,109,109,111,111,111,112,115,118,123,123,123,123,123,124,124,124,124,124,124,124,124,125,125,125,125,125,124,125,125,125,125,125,126,127,127,127,127,127,129,129,129,129,130,130,130,130,130,130,131,131,131,131,131,131,131,131,132,132,132,132,132,132,133,133,133,133,133,133,133,133,133,133,134,134,134,134,134,134,1337,1337,2.12222222222222,1.49052396878484,1.50395927844024,6.79387628429195,101.25
"9","2020-04-20",58,68,74,76,78,81,85,90,90,90,91,93,96,103,106,108,110,112,112,112,117,117,121,126,126,126,128,131,131,136,136,136,136,136,136,136,136,136,136,136,136,138,139,140,140,140,140,138,140,141,141,141,142,144,145,145,145,146,147,150,150,154,156,158,161,161,161,161,161,161,162,162,162,162,162,162,162,162,162,162,162,162,162,163,163,163,163,163,163,163,163,163,163,163,163,164,164,164,164,164,1505,1505,2.11971830985915,1.53728294177732,1.52292383923166,6.59148207908646,119
"10","2020-04-21",58,68,69,72,77,82,86,87,92,92,95,97,103,108,109,112,112,112,115,118,118,118,120,120,120,122,125,126,131,132,133,134,135,135,135,135,135,135,135,135,139,141,141,141,141,141,141,141,141,141,141,142,145,145,145,145,145,145,146,146,148,150,151,152,153,153,153,153,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,155,155,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,1664,1664,2.07481296758105,1.52660550458716,1.52876420380785,6.53204233077812,129.5
