"","ENTIDAD_RES","MUNICIPIO_RES","Nombre_Estado","UCI","positivos","decesos","Nombre_municipio","Defunciones_2018","porc_aumento","CFR_municipal"
"1",1,1,"AGUASCALIENTES",55,5342,510,"Aguascalientes",4250,0.12,0.095469861475103
"2",1,11,"AGUASCALIENTES",1,65,10,"San Francisco de los Romo",190,0.0526315789473684,0.153846153846154
"3",1,2,"AGUASCALIENTES",2,95,7,"Asientos",236,0.0296610169491525,0.0736842105263158
"4",1,3,"AGUASCALIENTES",4,166,5,"Calvillo",326,0.0153374233128834,0.0301204819277108
"5",1,4,"AGUASCALIENTES",0,84,2,"Cosío",87,0.0229885057471264,0.0238095238095238
"6",1,5,"AGUASCALIENTES",4,250,12,"Jesús María",453,0.0264900662251656,0.048
"7",1,6,"AGUASCALIENTES",1,244,14,"Pabellón de Arteaga",218,0.0642201834862385,0.0573770491803279
"8",1,7,"AGUASCALIENTES",2,401,12,"Rincón de Romos",219,0.0547945205479452,0.029925187032419
"9",1,8,"AGUASCALIENTES",0,56,1,"San José de Gracia",40,0.025,0.0178571428571429
"10",1,9,"AGUASCALIENTES",1,150,3,"Tepezalá",102,0.0294117647058824,0.02
"11",10,1,"DURANGO",5,71,7,"Canatlán",217,0.032258064516129,0.0985915492957746
"12",10,12,"DURANGO",12,760,35,"Lerdo",800,0.04375,0.0460526315789474
"13",10,23,"DURANGO",0,163,7,"Pueblo Nuevo",200,0.035,0.0429447852760736
"14",10,26,"DURANGO",4,56,8,"San Dimas",55,0.145454545454545,0.142857142857143
"15",10,34,"DURANGO",0,68,2,"Tamazula",38,0.0526315789473684,0.0294117647058824
"16",10,36,"DURANGO",6,80,14,"Tlahualilo",143,0.0979020979020979,0.175
"17",10,39,"DURANGO",1,68,2,"Nuevo Ideal",179,0.0111731843575419,0.0294117647058824
"18",10,4,"DURANGO",2,76,3,"Cuencamé",194,0.0154639175257732,0.0394736842105263
"19",10,5,"DURANGO",86,3998,234,"Durango",3315,0.0705882352941176,0.0585292646323162
"20",10,7,"DURANGO",39,2638,223,"Gómez Palacio",1846,0.12080173347779,0.0845337376800607
"21",10,8,"DURANGO",10,90,12,"Guadalupe Victoria",193,0.0621761658031088,0.133333333333333
"22",11,1,"GUANAJUATO",8,271,13,"Abasolo",604,0.021523178807947,0.0479704797047971
"23",11,10,"GUANAJUATO",0,74,0,"Coroneo",94,0,0
"24",11,11,"GUANAJUATO",13,578,45,"Cortazar",718,0.0626740947075209,0.0778546712802768
"25",11,12,"GUANAJUATO",1,181,2,"Cuerámaro",222,0.00900900900900901,0.0110497237569061
"26",11,14,"GUANAJUATO",2,648,36,"Dolores Hidalgo Cuna de la Independencia Nacional",899,0.0400444938820912,0.0555555555555556
"27",11,15,"GUANAJUATO",28,1245,72,"Guanajuato",948,0.0759493670886076,0.0578313253012048
"28",11,16,"GUANAJUATO",4,115,9,"Huanímaro",158,0.0569620253164557,0.0782608695652174
"29",11,17,"GUANAJUATO",28,4239,287,"Irapuato",3555,0.0807313642756681,0.0677046473224817
"30",11,18,"GUANAJUATO",1,344,8,"Jaral del Progreso",269,0.0297397769516729,0.0232558139534884
"31",11,19,"GUANAJUATO",2,161,6,"Jerécuaro",350,0.0171428571428571,0.0372670807453416
"32",11,2,"GUANAJUATO",9,825,27,"Acámbaro",954,0.0283018867924528,0.0327272727272727
"33",11,20,"GUANAJUATO",69,14118,1274,"León",8055,0.158162631905649,0.0902394106813996
"34",11,21,"GUANAJUATO",2,393,11,"Moroleón",371,0.0296495956873315,0.0279898218829517
"35",11,22,"GUANAJUATO",0,240,10,"Ocampo",141,0.0709219858156028,0.0416666666666667
"36",11,23,"GUANAJUATO",69,697,45,"Pénjamo",1164,0.038659793814433,0.0645624103299857
"37",11,24,"GUANAJUATO",0,64,3,"Pueblo Nuevo",110,0.0272727272727273,0.046875
"38",11,25,"GUANAJUATO",3,305,20,"Purísima del Rincón",366,0.0546448087431694,0.0655737704918033
"39",11,26,"GUANAJUATO",5,389,19,"Romita",360,0.0527777777777778,0.0488431876606684
"40",11,27,"GUANAJUATO",45,2243,147,"Salamanca",2052,0.0716374269005848,0.0655372269282211
"41",11,28,"GUANAJUATO",34,712,32,"Salvatierra",957,0.0334378265412748,0.0449438202247191
"42",11,29,"GUANAJUATO",0,319,6,"San Diego de la Unión",218,0.0275229357798165,0.0188087774294671
"43",11,3,"GUANAJUATO",5,524,28,"San Miguel de Allende",1010,0.0277227722772277,0.0534351145038168
"44",11,30,"GUANAJUATO",1,615,18,"San Felipe",580,0.0310344827586207,0.0292682926829268
