"","ENTIDAD_RES","MUNICIPIO_RES","Nombre_Estado","Municipio","UCI","positivos","decesos","municipio","Defunciones_2018","porc_aumento","porc_mortalidad"
"1",1,1,"AGUASCALIENTES","AGUASCALIENTES",24,2346,165,"Aguascalientes",4250,0.0388235294117647,0.0703324808184143
"2",1,3,"AGUASCALIENTES","CALVILLO",0,58,1,"Calvillo",326,0.00306748466257669,0.0172413793103448
"3",1,5,"AGUASCALIENTES","JESÚS MARÍA",3,101,2,"Jesús María",453,0.00441501103752759,0.0198019801980198
"4",1,6,"AGUASCALIENTES","PABELLÓN DE ARTEAGA",1,109,6,"Pabellón de Arteaga",218,0.0275229357798165,0.055045871559633
"5",1,7,"AGUASCALIENTES","RINCÓN DE ROMOS",0,195,5,"Rincón de Romos",219,0.0228310502283105,0.0256410256410256
"6",1,9,"AGUASCALIENTES","TEPEZALÁ",0,80,1,"Tepezalá",102,0.00980392156862745,0.0125
"7",10,12,"DURANGO","LERDO",3,276,11,"Lerdo",800,0.01375,0.0398550724637681
"8",10,36,"DURANGO","TLAHUALILO",6,70,13,"Tlahualilo",143,0.0909090909090909,0.185714285714286
"9",10,5,"DURANGO","DURANGO",21,1161,75,"Durango",3315,0.0226244343891403,0.0645994832041344
"10",10,7,"DURANGO","GÓMEZ PALACIO",15,1161,82,"Gómez Palacio",1846,0.0444203683640303,0.0706287683031869
"11",11,1,"GUANAJUATO","ABASOLO",3,57,2,"Abasolo",604,0.0033112582781457,0.0350877192982456
"12",11,11,"GUANAJUATO","CORTAZAR",5,198,17,"Cortazar",718,0.0236768802228412,0.0858585858585859
"13",11,12,"GUANAJUATO","CUERÁMARO",0,58,0,"Cuerámaro",222,0,0
"14",11,14,"GUANAJUATO","DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL",0,193,7,"Dolores Hidalgo Cuna de la Independencia Nacional",899,0.00778642936596218,0.0362694300518135
"15",11,15,"GUANAJUATO","GUANAJUATO",23,280,12,"Guanajuato",948,0.0126582278481013,0.0428571428571429
"16",11,17,"GUANAJUATO","IRAPUATO",10,1281,77,"Irapuato",3555,0.0216596343178622,0.0601092896174863
"17",11,19,"GUANAJUATO","JERÉCUARO",0,53,1,"Jerécuaro",350,0.00285714285714286,0.0188679245283019
"18",11,2,"GUANAJUATO","ACÁMBARO",5,166,9,"Acámbaro",954,0.00943396226415094,0.0542168674698795
"19",11,20,"GUANAJUATO","LEÓN",25,6018,327,"León",8055,0.0405959031657356,0.0543369890329013
"20",11,21,"GUANAJUATO","MOROLEÓN",1,51,3,"Moroleón",371,0.00808625336927224,0.0588235294117647
"21",11,23,"GUANAJUATO","PÉNJAMO",23,185,3,"Pénjamo",1164,0.00257731958762887,0.0162162162162162
"22",11,25,"GUANAJUATO","PURÍSIMA DEL RINCÓN",3,70,5,"Purísima del Rincón",366,0.0136612021857923,0.0714285714285714
"23",11,26,"GUANAJUATO","ROMITA",5,191,4,"Romita",360,0.0111111111111111,0.0209424083769634
"24",11,27,"GUANAJUATO","SALAMANCA",8,565,24,"Salamanca",2052,0.0116959064327485,0.0424778761061947
"25",11,28,"GUANAJUATO","SALVATIERRA",9,164,5,"Salvatierra",957,0.00522466039707419,0.0304878048780488
"26",11,3,"GUANAJUATO","SAN MIGUEL DE ALLENDE",4,123,3,"San Miguel de Allende",1010,0.00297029702970297,0.024390243902439
"27",11,30,"GUANAJUATO","SAN FELIPE",0,75,1,"San Felipe",580,0.00172413793103448,0.0133333333333333
"28",11,31,"GUANAJUATO","SAN FRANCISCO DEL RINCÓN",2,230,4,"San Francisco del Rincón",650,0.00615384615384615,0.0173913043478261
"29",11,32,"GUANAJUATO","SAN JOSÉ ITURBIDE",0,82,2,"San José Iturbide",413,0.00484261501210654,0.024390243902439
"30",11,33,"GUANAJUATO","SAN LUIS DE LA PAZ",4,156,8,"San Luis de la Paz",647,0.0123647604327666,0.0512820512820513
"31",11,35,"GUANAJUATO","SANTA CRUZ DE JUVENTINO ROSAS",5,186,18,"Santa Cruz de Juventino Rosas",475,0.0378947368421053,0.0967741935483871
"32",11,37,"GUANAJUATO","SILAO DE LA VICTORIA",5,609,39,"Silao",1116,0.0349462365591398,0.0640394088669951
"33",11,4,"GUANAJUATO","APASEO EL ALTO",2,61,2,"Apaseo el Alto",464,0.00431034482758621,0.0327868852459016
"34",11,42,"GUANAJUATO","VALLE DE SANTIAGO",18,145,4,"Valle de Santiago",1048,0.00381679389312977,0.0275862068965517
"35",11,44,"GUANAJUATO","VILLAGRÁN",1,93,7,"Villagrán",416,0.0168269230769231,0.0752688172043011
"36",11,5,"GUANAJUATO","APASEO EL GRANDE",4,89,7,"Apaseo el Grande",555,0.0126126126126126,0.0786516853932584
"37",11,7,"GUANAJUATO","CELAYA",39,1059,79,"Celaya",3103,0.0254592330003223,0.0745986779981114
"38",11,9,"GUANAJUATO","COMONFORT",2,63,2,"Comonfort",507,0.00394477317554241,0.0317460317460317
"39",12,1,"GUERRERO","ACAPULCO DE JUÁREZ",103,4467,630,"Acapulco de Juárez",5008,0.125798722044728,0.141034251175285
"40",12,11,"GUERRERO","ATOYAC DE ÁLVAREZ",4,73,9,"Atoyac de Álvarez",323,0.0278637770897833,0.123287671232877
"41",12,12,"GUERRERO","AYUTLA DE LOS LIBRES",2,65,10,"Ayutla de los Libres",203,0.0492610837438424,0.153846153846154
"42",12,22,"GUERRERO","COYUCA DE CATALÁN",3,65,11,"Coyuca de Catalán",205,0.0536585365853659,0.169230769230769
"43",12,28,"GUERRERO","CHILAPA DE ÁLVAREZ",8,96,18,"Chilapa de Álvarez",702,0.0256410256410256,0.1875
"44",12,29,"GUERRERO","CHILPANCINGO DE LOS BRAVO",64,997,123,"Chilpancingo de los Bravo",1214,0.101317957166392,0.123370110330993
"45",12,3,"GUERRERO","AJUCHITLÁN DEL PROGRESO",2,51,4,"Ajuchitlán del Progreso",129,0.0310077519379845,0.0784313725490196
"46",12,35,"GUERRERO","IGUALA DE LA INDEPENDENCIA",6,241,87,"Iguala de la Independencia",1004,0.0866533864541833,0.360995850622407
"47",12,38,"GUERRERO","ZIHUATANEJO DE AZUETA",33,258,42,"Zihuatanejo de Azueta",568,0.073943661971831,0.162790697674419
"48",12,39,"GUERRERO","JUAN R. ESCUDERO",1,68,2,"Juan R. Escudero",143,0.013986013986014,0.0294117647058824
"49",12,46,"GUERRERO","OMETEPEC",1,130,11,"Ometepec",236,0.0466101694915254,0.0846153846153846
"50",12,50,"GUERRERO","PUNGARABATO",0,189,28,"Pungarabato",159,0.176100628930818,0.148148148148148
"51",12,55,"GUERRERO","TAXCO DE ALARCÓN",43,112,39,"Taxco de Alarcón",675,0.0577777777777778,0.348214285714286
